No.,Title,Original airdate,Guest(s),Ingredient(s),Contestants,Judges,Dish,Winner,Guest A,Guest B,Judge A,Judge B,Judge C,Season
273,"""You Look Radishing""","January 5, 2020","Giada De Laurentiis, Betsy Brandt",Radish,Charlie Loomis X  Israel Rivera,"Richie Notar, Sue Torres, James Briscione",Eggs Benedict,Charlie Loomis,Giada De Laurentiis, Betsy Brandt,Richie Notar, Sue Torres, James Briscione,23
274,"""Don't Fiddle Around!""","January 9, 2020","Josh Capon, Teri Hatcher",Fiddlehead Ferns,Geoff Lazio X  Daniel Wright,"Ronnie Woo, Rosanna Scotto, Ed McFarland",Baked Clams,Bobby Flay,Josh Capon, Teri Hatcher,Ronnie Woo, Rosanna Scotto, Ed McFarland,23
275,"""That's Amore""","January 12, 2020","Carla Hall, Christian Petroni",Chanterelle Mushrooms,Chris Thompson X  Daniele Uditi,"JJ Johnson, Lauren Scala, Joe Isidori",Pizza Bianca,Daniele Uditi,Carla Hall, Christian Petroni,JJ Johnson, Lauren Scala, Joe Isidori,23
276,"""America's Funniest Food Show""","January 16, 2020","Anne Burrell, Bob Saget",Fontina,Sam Diminich X  Aliza Green,"Marco Canora, Susan Povich, Michael Psilakis",Lobster Risotto,Sam Diminich,Anne Burrell, Bob Saget,Marco Canora, Susan Povich, Michael Psilakis,23
277,"""Pretty Little Fryer""","January 19, 2020","Scott Conant, Sasha Pieterse",Smelts,Anthony LoPinto X  Franco Robazetti,"Cliff Crooks, Lourdes Castro, Justin Bazdarich",Veal Saltimbocca,Bobby Flay,Scott Conant, Sasha Pieterse,Cliff Crooks, Lourdes Castro, Justin Bazdarich,23
278,"""Perched For Victory""","January 26, 2020","Anne Burrell, Valerie Bertinelli",Yellow Perch,Elizabeth Binder X  Mike Ellis,"Michel Nischan, Ayesha Nurdjaja, Albert Di Meglio",Arancini,Elizabeth Binder,Anne Burrell, Valerie Bertinelli,Michel Nischan, Ayesha Nurdjaja, Albert Di Meglio,23
279,"""This'll Stick In Your Craw""","January 26, 2020","Sunny Anderson, Clinton Kelly",Crawfish,Jojo Vasquez X  Brian Riggenbach,"Dan Churchill, Leah Cohen, Chris Cheung",Clay Pot Chicken,Bobby Flay,Sunny Anderson, Clinton Kelly,Dan Churchill, Leah Cohen, Chris Cheung,23
280,"""The Cheese Stands Alone""","February 2, 2020","Sunny Anderson, Giada De Laurentiis",Farmer's Cheese,Paddy Rawal X  Trey Lamont,"Floyd Cardoz, Leah Cohen, Nigel Spence",Chicken Tikka Masala,Paddy Rawal,Sunny Anderson, Giada De Laurentiis,Floyd Cardoz, Leah Cohen, Nigel Spence,23
281,"""Chocolate Covered Clash""","February 9, 2020","Michael Voltaggio, Drew Barrymore",Chocolate Hazelnut Spread,Miriam Taylor X  DaVee Harned,"Zac Young, Paulette Goto, Scott Levine",Chocolate Cream Pie,Bobby Flay,Michael Voltaggio, Drew Barrymore,Zac Young, Paulette Goto, Scott Levine,23
282,"""We Will, We Will Judge You""","February 9, 2020","Alex Guarnaschelli, Lou Diamond Phillips",Cotija Cheese,Adrienne Cheatham X  Michele Ragussis,"Keri Glassman, Craig Samuel, Dana Cowin",Pastitsio,Michele Ragussis,Alex Guarnaschelli, Lou Diamond Phillips,Keri Glassman, Craig Samuel, Dana Cowin,23
283,"""The Power of Jane""","February 16, 2020","Michael Symon, Jane Krakowski",Tamarind,Matt Spinner X  Attila Bollok,"Drew Nieporent, Dana Cowin, Jeremy Salaman",Chicken Schnitzel,Bobby Flay,Michael Symon, Jane Krakowski,Drew Nieporent, Dana Cowin, Jeremy Salaman,23
284,"""Guess Who's Back""","February 16, 2020","Katie Lee, Josh Capon",Cranberry Beans,Ryan Lory X  Jackie Rothong,"Frank Prisinzano, Angie Rito, Albert Di Meglio",Pasta Ragù,Bobby Flay,Katie Lee, Josh Capon,Frank Prisinzano, Angie Rito, Albert Di Meglio,23
285,"""The Queen Is In""","February 23, 2020","Richard Blais, Martha Stewart",Mandarin Oranges,Katherine Fuchs X  Michael Merida,"Laurent Tourondel, Ayesha Nurdjaja, Felipe Donnelly",Fish Croquette,Michael Merida,Richard Blais, Martha Stewart,Laurent Tourondel, Ayesha Nurdjaja, Felipe Donnelly,24
286,"""The Lady Butchers""","February 23, 2020","Michael Symon, Courtney Rada",Bison Loin,Penny Barend X  Melissa Khoury,"Lourdes Castro, Matt Abdoo, Leah Wolfe",Pork Sandwich,Penny Barend,Michael Symon, Courtney Rada,Lourdes Castro, Matt Abdoo, Leah Wolfe,24
287,"""This Just In!""","March 1, 2020","Alex Guarnaschelli, Don Lemon",Whole Flounder,Dieter Samijn X  Patrick Schaeffer,"Adrienne Cheatham, Laurent Tourondel, Abigail Hitchcock",Bacon Cheeseburger,Patrick Schaeffer,Alex Guarnaschelli, Don Lemon,Adrienne Cheatham, Laurent Tourondel, Abigail Hitchcock,24
288,"""The Queen Returns""","March 1, 2020","Michael Symon, Martha Stewart",Sunflower Seeds,Max Castro X  Sarah Wade,"Ariel Fox, Joe Isidori, Kardea Brown",Fried Chicken Sandwich,Bobby Flay,Michael Symon, Martha Stewart,Ariel Fox, Joe Isidori, Kardea Brown,24
289,"""We'll Be The Judge""","March 8, 2020","Sunny Anderson, Geoffrey Zakarian",Duck eggs,Ed McFarland X  Dale Talde,"Michael Anthony, Tricia Williams, Ed Schoenfeld",Wonton Soup,Dale Talde,Sunny Anderson, Geoffrey Zakarian,Michael Anthony, Tricia Williams, Ed Schoenfeld,24
290,"""The View From The Top""","March 15, 2020","Michael Symon, Sunny Hostin",Spring Onions,Pom Amaritnant X  Troy Gagliardo,"Dale Talde, Sara Gore, Ed Schoenfeld",Pork Ramen,Bobby Flay,Michael Symon, Sunny Hostin,Dale Talde, Sara Gore, Ed Schoenfeld,24
291,"""All Dried Out Over You""","March 22, 2020","Anne Burrell, David Burtka",Guajillo Chilies,Rachael Polhill X  Ian Redshaw,"Abigail Hitchcock, Wylie Dufresne, Ayala Donchin",Surf and Turf,Bobby Flay,Anne Burrell, David Burtka,Abigail Hitchcock, Wylie Dufresne, Ayala Donchin,24
292,"""Don't Sugarcoat It""","March 29, 2020","Marcela Valladolid, Buddy Valastro",Kiwi,Jocelyn Gragg X  Kathleen McDaniel,"Claudia Fleming, David Lebovitz, Sarah Sanneh",Baklava,Kathleen McDaniel,Marcela Valladolid, Buddy Valastro,Claudia Fleming, David Lebovitz, Sarah Sanneh,24
293,"""Blast From The Past""","April 5, 2020","Ted Allen, Carla Hall",Serrano Ham,Justin Hunt X  Wesley True,"Rosanna Scotto, Dan Kluger, Ayesha Nurdjaja",Lamb Meatballs,Bobby Flay,Ted Allen, Carla Hall,Rosanna Scotto, Dan Kluger, Ayesha Nurdjaja,24
294,"""BBF: Beat My Best Friend""","April 12, 2020","Michael Symon, Clinton Kelly",Black-Eyed Peas,Sylvain Delpique X  Jackie Mazza,"Drew Nieporent, Georgette Farkas, Harold Moore",venison Wellington,Sylvain Delpique,Michael Symon, Clinton Kelly,Drew Nieporent, Georgette Farkas, Harold Moore,24
295,"""The Grill Fits The Bill""","April 19, 2020","Anne Burrell, Marc Murphy",Goat Rack,Susie Bulloch X  David Bancroft,"Hugh Mangum, Amy Mills, Ed McFarland",Ribs,Bobby Flay,Anne Burrell, Marc Murphy,Hugh Mangum, Amy Mills, Ed McFarland,24
296,"""Sibling Rivalry""","April 26, 2020","Alex Guarnaschelli, Damaris Phillips",Cherry Peppers,Matt Storch X  Lisa Storch,"Craig Samuel, Dana Cowin, Jake Dell",Kreplach,Lisa Storch,Alex Guarnaschelli, Damaris Phillips,Craig Samuel, Dana Cowin, Jake Dell,24
297,"""No Cake Walk""","May 3, 2020",Sunny Anderson,Black and White Sesame Seeds and Tahini,Alex Guarnaschelli X  Buddy Valastro,"Paulette Goto, Dan Langan, Ashley Gabrielsen",Multi-Layered Cake,Buddy Valastro,Sunny Anderson,,Paulette Goto, Dan Langan, Ashley Gabrielsen,24
298,"""Ready, Set, Grill!""","May 24, 2020","Eddie Jackson, Danica Patrick",Swordfish,Jess DeSham Timmons X  Leslie Roark Scott,"Ronnie Woo, Tricia Williams, Joe Isidori",Barbecue Chicken Wings,Bobby Flay,Eddie Jackson, Danica Patrick,Ronnie Woo, Tricia Williams, Joe Isidori,25
299,"""Summer Lovin'""","May 31, 2020","Carla Hall, Steve Higgins",Rhubarb,Kathy Sidell X  Vinson Petrillo,"Michele Ragussis, James Briscione, Hannah Wong",Lobster Rolls,Bobby Flay,Carla Hall, Steve Higgins,Michele Ragussis, James Briscione, Hannah Wong,25
300,"""Gives You Goosebumps""","June 7, 2020","Scott Conant, Cheri Oteri",Gooseberries,Nick Walker X  Senada Grbic,"Michael Psilakis, Sara Moulton, Jeremy Salamon",Pork Chops and Applesauce,Bobby Flay,Scott Conant, Cheri Oteri,Michael Psilakis, Sara Moulton, Jeremy Salamon,25
301,"""Go Nuts!""","June 14, 2020","Ree Drummond, Eddie Jackson",Walnuts,Ian Rough X  Anthony Endy,"Hugh Mangum, Pati Jinich, Cliff Crooks",Steak Sandwich,Anthony Endy,Ree Drummond, Eddie Jackson,Hugh Mangum, Pati Jinich, Cliff Crooks,25
302,"""Superchef, Supermodel""","June 21, 2020","Anne Burrell, Gigi Hadid",Taro Root,Max Robbins X  Melissa Araujo,"Michael Psilakis, Tricia Williams, Joe Isidori",Falafel,Max Robbins,Anne Burrell, Gigi Hadid,Michael Psilakis, Tricia Williams, Joe Isidori,25
303,"""Beat Bobby Flay: The Musical""","June 28, 2020","Damaris Phillips, Jaymee Sire",Capers,Elijah Milligan X  Rémi Granger,"David Massoni, Ariane Daguin, Michael Anthony",French Onion Soup,Rémi Granger,Damaris Phillips, Jaymee Sire,David Massoni, Ariane Daguin, Michael Anthony,25
304,"""So Much Shade""","July 5, 2020","Scott Conant, Vivica A. Fox",Baby Artichokes,Peter Prime X  Nico Romo,"Melba Wilson, Brian Duffy, Lucinda Scala Quinn",Chicken Cordon Bleu,Bobby Flay,Scott Conant, Vivica A. Fox,Melba Wilson, Brian Duffy, Lucinda Scala Quinn,25
305,"""Fresh-Squeezed""","July 12, 2020","Amanda Freitag, Michael Symon",Pomelo,Carrie Eagle X  Jose Salazar,"Ivy Stark, Michael Psilakis, Pati Jinich",Pozole Verde with Seafood,Bobby Flay,Amanda Freitag, Michael Symon,Ivy Stark, Michael Psilakis, Pati Jinich,25
306,"""Somewhere Over The Rainbow""","July 19, 2020","Alex Guarnaschelli, Michael Voltaggio",Rainbow Carrots,Jennifer Dewasha X  Devin Bozkaya,"Michele Ragussis, Michael Gutowski, Melba Wilson",Crab Bisque,Bobby Flay,Alex Guarnaschelli, Michael Voltaggio,Michele Ragussis, Michael Gutowski, Melba Wilson,25
307,"""It's All Gouda""","August 2, 2020","Anne Burrell, Michael Voltaggio",Gouda,José DeJesus X  Dafna Mizrahi,"Ken Oringer, Susan Feniger, Corby Kummer",Shrimp Burrito,José DeJesus,Anne Burrell, Michael Voltaggio,Ken Oringer, Susan Feniger, Corby Kummer,25
308,"""Going Global""","August 9, 2020","Richard Blais, Laura Vitale",Celery Root,Reza Setayesh X  Andy Gaynor,"Daniel Breaker, Aliya LeeKong, Matt FX Feldman",Jianbing,Reza Setayesh,Richard Blais, Laura Vitale,Daniel Breaker, Aliya LeeKong, Matt FX Feldman,25
309,"""You're Masa-Ing With Me!""","August 16, 2020","Jet Tila, Carla Hall",Fresh Masa,Dan Jacobs X  Tony J. Nguyen,"Tracy Jane Young, Dan Churchill, Helen Nguyen",Beef Chow Fun,Bobby Flay,Jet Tila, Carla Hall,Tracy Jane Young, Dan Churchill, Helen Nguyen,25
310,"""The Dynamic Duo""","August 23, 2020","Giada DeLaurentiis, Michael Symon",Bulgur Wheat,Fabrizio Schenardi X  Jessica Gamble,"David Massoni, Adrienne Cheatham, Michael Jenkins",Potato Gnocchi,Bobby Flay,Giada DeLaurentiis, Michael Symon,David Massoni, Adrienne Cheatham, Michael Jenkins,25
311,"""A Sticky Situation""","August 30, 2020","Alex Guarnaschelli, Geoffrey Zakarian",Brazil Nuts,Erica Land X  Jacqueline Joy Diño,"Zac Young, Toni Dickinson, Michael Tsang",Sticky Toffee Pudding,Bobby Flay,Alex Guarnaschelli, Geoffrey Zakarian,Zac Young, Toni Dickinson, Michael Tsang,25
312,"""Double Trouble""","September 6, 2020","Katie Lee, Heidi Gardner",Provolone,Iesha D. Williams & Nirva Llorca X  Deanna Germano & Mark Germano,"Joe Isidori, Anya Fernald, Cliff Crooks",Lumberjack Breakfast,Bobby Flay,Katie Lee, Heidi Gardner,Joe Isidori, Anya Fernald, Cliff Crooks,25
313,"""The Nightmare Before Pastry""","October 14, 2020","Katie Lee, Zac Young",Dragon Fruit,Michael McGowan X  Kareem Queeman,"Lauren Scala, Dan Langan, Deb Perelman",Bundt Cake,Bobby Flay,Katie Lee, Zac Young,Lauren Scala, Dan Langan, Deb Perelman,25
314,"""All About That Baste""","November 1, 2020","Damaris Phillips, Casey Webb",Delicata Squash,Lindsay Porter X  Kevin Grossi,"Melba Wilson, Ryan Gleason, Elena Besser",Turkey Pot Pie,Bobby Flay,Damaris Phillips, Casey Webb,Melba Wilson, Ryan Gleason, Elena Besser,25
315,"""Mustache Takeover""","December 30, 2020","David Burtka, Donatella Arpaia",Chinese Long Beans,Saransh Oberoi X  Tom Cuomo,"Hari Nayak, Ayesha Nurdjaja, Shaun Hergatt",Kati Roll,Saransh Oberoi,David Burtka, Donatella Arpaia,Hari Nayak, Ayesha Nurdjaja, Shaun Hergatt,26
316,"""25 Ingredients or Less""","January 1, 2021","Giada De Laurentiis, Meredith Vieira",Coppa,Marcos Campos X  Nicholas Poulmentis,"Ivy Stark, Marc Vidal, Kristin Sollenne",Seafood Paella,Bobby Flay,Giada De Laurentiis, Meredith Vieira,Ivy Stark, Marc Vidal, Kristin Sollenne,26
317,"""Don't Be Salty""","January 7, 2021","Geoffrey Zakarian, Sunny Anderson",'Nduja Sausage,Sammy Monsour X  Whitney Thomas,"Hugh Mangum, Melba Wilson, Jean-Paul Bourgeois",Hush Puppies,Bobby Flay,Geoffrey Zakarian, Sunny Anderson,Hugh Mangum, Melba Wilson, Jean-Paul Bourgeois,26
318,"""Forecasting a Win""","January 14, 2021","Katie Lee, Al Roker",Quick Cooking Grits,Justin Walker X  Marîa Grubb,"Matt Abdoo, Georgette Farkas, Mason Hereford",Steak and Eggs,Bobby Flay,Katie Lee, Al Roker,Matt Abdoo, Georgette Farkas, Mason Hereford,26
319,"""How You Bean?""","January 21, 2021","Damaris Phillips, Sunny Anderson",White Navy Beans,Brian Lopes X  Jesse Wykle,"David Santos, Nicole Ponseca, Hugh Mangum",Lumpia,Jesse Wykle,Damaris Phillips, Sunny Anderson,David Santos, Nicole Ponseca, Hugh Mangum,26
320,"""Blondes Have More Fun""","January 28, 2021","Anne Burrell, Sara Haines",Ground Bison,Jonathan Dearden X  Scott Drewno,"Chris Cheung, Sara Gore, Andrew Rea",Chicken Club Sandwich,Bobby Flay,Anne Burrell, Sara Haines,Chris Cheung, Sara Gore, Andrew Rea,26
321,"""Friday Night Bites""","February 4, 2021","Sunny Anderson, Amanda Freitag",Mustard,Scott McDonald X  Michael Buttacavoli,"Laurent Tourondel, Tricia Williams, Ed McFarland",Meatball Parmesan Sandwich,Michael Buttacavoli,Sunny Anderson, Amanda Freitag,Laurent Tourondel, Tricia Williams, Ed McFarland,26
322,"""Who's the Boss""","February 11, 2021","Amanda Freitag, Ben Rappaport",Saltine Crackers,Katie Renda X  Richmond Flores,"JJ Johnson, Michele Ragussis, Dale Talde",Clam Chowder,Katie Renda,Amanda Freitag, Ben Rappaport,JJ Johnson, Michele Ragussis, Dale Talde,26
323,"""It's All Gravy""","February 18, 2021","Michael Symon, Ego Nwodim",Cheese Curds,Brandon Baltzley X  Bill Crites,"Lucinda Scala Quinn, John Seymour, Lauren Scala",Biscuits and Gravy,Bobby Flay,Michael Symon, Ego Nwodim,Lucinda Scala Quinn, John Seymour, Lauren Scala,26
324,"""Too Flay for Flay""","February 25, 2021","Sunny Anderson, Nicole Ari Parker",Turnip,Jenny Behm-Lazzarini X  Julio Lazzarini,"Drew Nieporent, Abigail Hitchcock, Marco Canora",Chicken Noodle Soup,Jenny Behm-Lazzarini,Sunny Anderson, Nicole Ari Parker,Drew Nieporent, Abigail Hitchcock, Marco Canora,26
325,"""Belly Up!""","March 4, 2021","Scott Conant, Claire Robinson",Pork Belly,Max Hosey X  Ash Fulk,"Matt FX, Tricia Williams, Dima Martseniuk",Spätzle,Bobby Flay,Scott Conant, Claire Robinson,Matt FX, Tricia Williams, Dima Martseniuk,26
326,"""If I Dip, You Dip, We Dip""","March 11, 2021","Josh Capon, Ana Gasteyer",Labneh,Danny Brown X  Sarah Cloyd,"Michael Lomonaco, Aliya LeeKong, Jacob Hadjigeorgis",French Dip Sandwich,Bobby Flay,Josh Capon, Ana Gasteyer,Michael Lomonaco, Aliya LeeKong, Jacob Hadjigeorgis,26
327,"""You Made Your Bread Now Eat It""","March 18, 2021","Michael Voltaggio, Jaymee Sire",Semolina Bread,Yehuda Sichel X  Remy Pettus,"Jake Dell, Kardea Brown, Andrew Friedman",Matzo Ball Soup,Yehuda Sichel,Michael Voltaggio, Jaymee Sire,Jake Dell, Kardea Brown, Andrew Friedman,26
328,"""Power Trip""","March 25, 2021","Michael Symon, Joseph Sikora",Quince,Ruth Wigman X  Ian Rynecki,"Georgette Farkas, Craig Samuel, Ariane Daguin",Moules-Frites,Bobby Flay,Michael Symon, Joseph Sikora,Georgette Farkas, Craig Samuel, Ariane Daguin,26
329,"""A Berry Crazy Night""","April 1, 2021","Anne Burrell, Eddie Jackson",Blackberry,Nokee Bucayu X  Jay Reifel,"Leah Cohen, Gareth Hughes, Sara Gore",Mince Pie,Jay Reifel,Anne Burrell, Eddie Jackson,Leah Cohen, Gareth Hughes, Sara Gore,27
330,"""Best in Snow""","April 8, 2021","Sunny Anderson, Christian Petroni",Pomegranates,Erick Harcey X  Karyn Tomlinson,"Michael Lomonaco, Melba Wilson, Dan Churchill",Swedish Meatballs,Bobby Flay,Sunny Anderson, Christian Petroni,Michael Lomonaco, Melba Wilson, Dan Churchill,27
331,"""Veggin' Out""","April 15, 2021","Katie Lee, Beth Stern",Cubanelle Peppers,Cara Nance X  Destiny Aponte,"Hugh Mangum, Einat Admony, Rich Landau",Vegetarian Chili,Bobby Flay,Katie Lee, Beth Stern,Hugh Mangum, Einat Admony, Rich Landau,27
332,"""Flirting with Victory""","April 22, 2021","Alex Guarnaschelli, Malin Akerman",Pork Loin,Andrew Bent X  Alejandro Barrientos,"Ivy Stark, Justin Bazdarich, Ariel Fox",Fish Tacos,Andrew Bent,Alex Guarnaschelli, Malin Akerman,Ivy Stark, Justin Bazdarich, Ariel Fox,27
333,"""The Battle for Saratoga""","April 29, 2021","Scott Conant, Michelle Wie West",Longganisa Sausage,Jeannette Liebers X  Chris Bonnivier,"Melba Wilson, Michael Psilakis, Sarah Schneider",Pancakes,Bobby Flay,Scott Conant, Michelle Wie West,Melba Wilson, Michael Psilakis, Sarah Schneider,27
334,"""That's A Lotta Ciabatta""","May 6, 2021","Scott Conant, Katie Brown",Ciabatta,Kerri Rogers X  Joel Gargano,"Marco Canora, Ayala Donchin, David Massoni",Garganelli,Bobby Flay,Scott Conant, Katie Brown,Marco Canora, Ayala Donchin, David Massoni,27
335,"""Peas of Mind""","May 13, 2021","Michael Symon, Lela Loren",Snow Peas,Lien Lin X  Hamidullah Noori,"Jimmy Ly, Sami Zaman, Hugh Mangum",Beef Mantu,Bobby Flay,Michael Symon, Lela Loren,Jimmy Ly, Sami Zaman, Hugh Mangum,27
336,"""Mission: Impastable""","May 20, 2021","Anne Burrell, Jaboukie Young-White",Asiago Cheese,David Benstock X  Nicole Karr,"Albert Di Meglio, Einat Admony, Clifford Crooks",Mezzelune,David Benstock,Anne Burrell, Jaboukie Young-White,Albert Di Meglio, Einat Admony, Clifford Crooks,27
337,"""Grin And Camembert It""","May 27, 2021","Valerie Bertinelli, Amanda Freitag",Camembert,Edward Brumfield X  Ricardo Barreras,"Louie Estrada, Nilou Motamed, Krzysztof Poluchowicz",Crab Cakes,Bobby Flay,Valerie Bertinelli, Amanda Freitag,Louie Estrada, Nilou Motamed, Krzysztof Poluchowicz,27
338,"""Rambutan Rumble""","June 3, 2021","Giada De Laurentiis, Marcus Samuelsson",Rambutan,Hiro Tarawa X  Dannie Harrison,"Nilou Motamed, Leah Cohen, Sakura Yagi",Pad Thai,Bobby Flay,Giada De Laurentiis, Marcus Samuelsson,Nilou Motamed, Leah Cohen, Sakura Yagi,27
339,"""Let the Trumpet Sound!""","June 10, 2021","Sunny Anderson, Reid Scott (actor)",Black Trumpet Mushrooms,Sieger Bayer X  Ned Baldwin,"Georgette Farkas, Emma Bengtsson, Aliya LeeKong",Half-Roasted Chicken,Sieger Bayer,Sunny Anderson, Reid Scott (actor),Georgette Farkas, Emma Bengtsson, Aliya LeeKong,27
340,"""Beets Me""","June 17, 2021","Michael Symon, Damaris Philips",Yellowtail,Andrew Lukovsky X  Airis Johnson,"Jeremy Salamon, Abigail Hitchcock, David Santos",Borscht,Bobby Flay,Michael Symon, Damaris Philips,Jeremy Salamon, Abigail Hitchcock, David Santos,27
341,"""Best Dressed in TV""","June 17, 2021","Geoffrey Zakarian, Carson Kressley",Cottage Cheese,Chris Coleman X  Siddharth Krishna,"Drew Nieporent, Ivy Stark, Chintan Pandya",Chicken and Rice Stew,Chris Coleman,Geoffrey Zakarian, Carson Kressley,Drew Nieporent, Ivy Stark, Chintan Pandya,27
342,"""The Puck Stops Here""","June 24, 2021","Ted Allen, Wolfgang Puck",Cremini Mushrooms,Judy Anderson X  Emily Hansen,"Michael Lomonaco, Ariel Fox, Daniel Breaker",Steak Diane,Bobby Flay,Ted Allen, Wolfgang Puck,Michael Lomonaco, Ariel Fox, Daniel Breaker,27
343,"""Kelly And The Jet""","June 24, 2021","Jet Tila, Clinton Kelly",Rabbit Loin,Rob Lam X  Dawn Burrell,"Ed Schoenfeld, Helen Nguyen, Dan Churchill",Beef Pho,Bobby Flay,Jet Tila, Clinton Kelly,Ed Schoenfeld, Helen Nguyen, Dan Churchill,27
344,"""Bobby and Chocolate Factory""","September 22, 2021","Alex Guarnaschelli, Elizabeth Chambers",Bittersweet Chocolate,Leann Mascoli X  Melanie Moss,"Toni Dickinson, Zachary Schmahl, Melissa Weller",Chocolate Éclair,Bobby Flay,Alex Guarnaschelli, Elizabeth Chambers,Toni Dickinson, Zachary Schmahl, Melissa Weller,28
345,"""LA Takeover""","September 22, 2021","Michael Voltaggio, Ali Larter",Chicories,Yuri Szarzewski X  Jorge González,"Ariane Daguin, James Briscione, Lourdes Castro",Coquilles Saint-Jacques,Bobby Flay,Michael Voltaggio, Ali Larter,Ariane Daguin, James Briscione, Lourdes Castro,28
346,"""Hate To Burst Your Shark""","September 29, 2021","Ted Allen, Eddie Jackson",Nectarines,Phelix Gardner X  Enrika Williams,"Joe Isidori, Lauren Scala, Cliff Crooks",Chili Cheese Dog,Bobby Flay,Ted Allen, Eddie Jackson,Joe Isidori, Lauren Scala, Cliff Crooks,28
347,"""It's All Jackfruit To Me""","October 5, 2021","Alex Guarnaschelli, Casey Webb",Jackfruit,Jonathan Meyer X  Fernanda Tapia,"Lourdes Castro, Kardea Brown, Michele Ragussis",Johnnycake,Bobby Flay,Alex Guarnaschelli, Casey Webb,Lourdes Castro, Kardea Brown, Michele Ragussis,28
348,"""Romancing the Flay""","October 12, 2021","Michael Voltaggio, Jeff Mauro",Dried Cascabel Chili,Sayat Ozyilmaz X  Laura Ozyilmaz,"Justin Bazdarich, Sara Moulton, Corby Kummer",Fish a la Talla,Bobby Flay,Michael Voltaggio, Jeff Mauro,Justin Bazdarich, Sara Moulton, Corby Kummer,28
349,"""Last Man Grilling""","October 19, 2021","Josh Capon, Laura Vitale",Veal Porterhouse Chops,Mark Henry X  Larry Delgado,"Pati Jinich, Matt Abdoo, Katie Pickens",Carne asada,Larry Delgado,Josh Capon, Laura Vitale,Pati Jinich, Matt Abdoo, Katie Pickens,28
350,"""Scallop Over The Finish Line""","October 26, 2021","Damaris Philips, John O'Hurley",Sea Scallop,Charlie Fuerte X  Jonathan Brooks,"Dan Churchill, Dana Cowin, Peter J. Kim",Fried Rice,Bobby Flay,Damaris Philips, John O'Hurley,Dan Churchill, Dana Cowin, Peter J. Kim,28
351,"""Don't Be Crabby""","November 2, 2021","Katie Lee, Eddie Jackson",Blue crab,Noel Cruz X  Andrew Zarzosa,"Dale Talde, Aliya LeeKong, Craig Samuel",Laksa,Bobby Flay,Katie Lee, Eddie Jackson,Dale Talde, Aliya LeeKong, Craig Samuel,28
352,"""A Family Affair""","November 9, 2021","Alex Guarnaschelli, Sophie Flay",Grouper,Nicole Gomes X  Liam Beardslee,"Ryan Fey, Angie Rito, Mark Anderson",Chicken Parmesan,Nicole Gomes,Alex Guarnaschelli, Sophie Flay,Ryan Fey, Angie Rito, Mark Anderson,28
353,"""Adios, Roberto Flay""","November 16, 2021","Anne Burrell, Damaris Phillips",Walleye,Ayaka Guido X  Fabrizio Facchini,"Richie Notar, Kristin Sollene, Albert Dimeglio",Egg Yolk Ravioli,Ayaka Guido,Anne Burrell, Damaris Phillips,Richie Notar, Kristin Sollene, Albert Dimeglio,28
354,"""It's a Cakewalk""","November 23, 2021","Duff Goldman, Damaris Phillips",Raspberry,Holden Jagger X  Tova Du Plessis,"Paulette Goto, Scott Levine, Jocelyn Delk Adams",Jewish apple cake,Tova Du Plessis,Duff Goldman, Damaris Phillips,Paulette Goto, Scott Levine, Jocelyn Delk Adams,28
355,"""All Tapped Out""","November 30, 2021","Buddy Valastro, Kathryn Tappen",Pistachio,Will Gustwiller X  Lasheeda Perry,"David Lebovitz, Raiza Costa, Bill Yosses",Lemon meringue pie,Lasheeda Perry,Buddy Valastro, Kathryn Tappen,David Lebovitz, Raiza Costa, Bill Yosses,28
356,"""High Prune""","December 7, 2021","Alex Guarnaschelli, Sunny Anderson",Prune,Kingshuk Dey X  Godwin Ihentuge,"Aarthi Sampath, JJ Johnson, Georgette Farkas",Mafé,Bobby Flay,Alex Guarnaschelli, Sunny Anderson,Aarthi Sampath, JJ Johnson, Georgette Farkas,28
357,"""It's All Greek To Me""","December 14, 2021","Michael Symon, Carly Hughes",Butterfish,Georgios Kantaris X  Angelo Vangelopoulos,"Ayesha Nurdjaja, Richie Notar, Diane Kochilas",Moussaka,Bobby Flay,Michael Symon, Carly Hughes,Ayesha Nurdjaja, Richie Notar, Diane Kochilas,28
358,"""It's All Business""","December 21, 2021","Anne Burrell, Michael Symon",New Mexico chile,Scott Calhoun X  David Feola,"Emma Bengtsson, Michael Lomonaco, Lauren Scala",Liver and onions,Scott Calhoun,Anne Burrell, Michael Symon,Emma Bengtsson, Michael Lomonaco, Lauren Scala,28
359,"""Smoove Moves""","January 6, 2022","Michael Symon, J. B. Smoove",Kohlrabi,Mia Castro X  Brandon Carter,"James Briscione, Pamela Silvestri, Chris Cheung",Arroz con pollo,Mia Castro,Michael Symon, J. B. Smoove,James Briscione, Pamela Silvestri, Chris Cheung,29
360,"""Say Yes To The Dish""","January 13, 2022","Randy Fenoli, Alex Guarnaschelli",Cauliflower,Ana Hernandez X  Frank Bonanno,"Rosanna Scotto, Albert Di Meglio, Lauren Scala",Lobster Fra Diavolo,Bobby Flay,Randy Fenoli, Alex Guarnaschelli,Rosanna Scotto, Albert Di Meglio, Lauren Scala,29
